"ACCOUNT_ID","LIST_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EXTERNAL_CAMPAIGN_ID","SF_CAMPAIGN_ID","CAMPAIGN_NAME","LAUNCH_NAME","LAUNCH_STATUS","LAUNCH_TYPE","LAUNCH_CHARSET","PURPOSE","SUBJECT","DESCRIPTION","PRODUCT_CATEGORY","PRODUCT_TYPE","MARKETING_STRATEGY","MARKETING_PROGRAM","LAUNCH_ERROR_CODE","LAUNCH_STARTED_DT","LAUNCH_COMPLETED_DT","DISPATCHABLE_TYPE","PROGRAM_ID","BRAND_ID","CREATOR_NAME","FIRST_NAME","LAST_NAME","DMP01","DMP02BATCHTRIGGER","DMP03PUREBATCH","DMP04BLOCK","RAVISH"
"7668","37121","27-Oct-2019 12:02:06","27-Oct-2019 12:02:21","38341","30440001","","","QList1 EMD01","","B","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 12:02:06","","PromotionalCampaign","530621","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:02:06","27-Oct-2019 12:02:21","38341","30440001","","","QList1 EMD01","","L","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","530621","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:02:06","27-Oct-2019 12:02:21","38341","30440001","","","QList1 EMD01","","S","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","530621","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:02:07","27-Oct-2019 12:02:22","38341","30440001","","","QList1 EMD01","","C","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","27-Oct-2019 12:02:07","PromotionalCampaign","530621","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:02:07","27-Oct-2019 12:02:22","38341","29501","","","QList1 EMD01","","C","X","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 12:02:07","27-Oct-2019 12:02:07","PromotionalCampaign","","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 12:04:23","27-Oct-2019 12:04:31","7221","30440021","","","Sh_SanityEmail01","","C","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","27-Oct-2019 12:04:23","PromotionalCampaign","3044921","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 12:04:17","27-Oct-2019 12:04:32","7221","30440021","","","Sh_SanityEmail01","","B","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 12:04:17","","PromotionalCampaign","3044921","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 12:04:19","27-Oct-2019 12:04:34","7221","30440021","","","Sh_SanityEmail01","","L","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","3044921","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 12:04:19","27-Oct-2019 12:04:34","7221","30440021","","","Sh_SanityEmail01","","S","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","3044921","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 12:04:23","27-Oct-2019 12:04:36","7221","5521","","","Sh_SanityEmail01","","C","X","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 12:04:23","27-Oct-2019 12:04:23","PromotionalCampaign","","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 12:05:31","27-Oct-2019 12:05:46","295521","30440041","","","Sh_SanityEMD02","","B","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 12:05:31","","PromotionalCampaign","3044921","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 12:05:33","27-Oct-2019 12:05:48","295521","30440041","","","Sh_SanityEMD02","","L","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","3044921","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 12:05:33","27-Oct-2019 12:05:48","295521","30440041","","","Sh_SanityEMD02","","S","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","3044921","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 12:05:36","27-Oct-2019 12:05:49","295521","30440041","","","Sh_SanityEMD02","","C","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","27-Oct-2019 12:05:36","PromotionalCampaign","3044921","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 12:05:37","27-Oct-2019 12:05:49","295521","388381","","","Sh_SanityEMD02","","C","X","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 12:05:37","27-Oct-2019 12:05:37","PromotionalCampaign","","","ipush","","","","","","",""
"7668","193382501","27-Oct-2019 11:30:02","27-Oct-2019 11:30:17","193383121","30439961","","","P_AI_02_EMDEmail","","B","S","ISO-8859-1","P","QA1_ipush_{campaign.name}","","","","","","","27-Oct-2019 11:30:02","","PromotionalCampaign","","","ipush","","","","","","",""
