"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","MESSAGE","Column MESSAGE is present in CED","MESSAGE","Present","18","18","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","MOBILE_NUMBER","Column MOBILE_NUMBER is present in CED","MOBILE_NUMBER","Present","19","19","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","$CAMPAIGN(CAMPAIGN_ID).dispatchableName:CAMPAIGN_NAME","Column $CAMPAIGN(CAMPAIGN_ID).dispatchableName:CAMPAIGN_NAME is missing","CAMPAIGN_NAME","Missing","20","N/A","'$CAMPAIGN(CAMPAIGN_ID).dispatchableName:CAMPAIGN_NAME' is not in list"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","FIRST_NAME","Column FIRST_NAME is present in CED","FIRST_NAME","Present","21","21","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","LAST_NAME","Column LAST_NAME is missing","LA_NAME","Missing","22","N/A","'LAST_NAME' is not in list"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","DOB","Column DOB is present in CED","DOB","Present","23","23","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","HINDI","Column HINDI is missing","HIDI","Missing","24","N/A","'HINDI' is not in list"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","CHINES","Column CHINES is present in CED","CHINES","Present","25","25","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","JAPANESE","Column JAPANESE is missing","JAPANSE","Missing","26","N/A","'JAPANESE' is not in list"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","ARABIC","Column ARABIC is present in CED","ARABIC","Present","27","27","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","RUSSIAN","Column RUSSIAN is present in CED","RUSSIAN","Present","28","28","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","GREEK","Column GREEK is missing","GREK","Missing","29","N/A","'GREEK' is not in list"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","ALBANIAN","Column ALBANIAN is present in CED","ALBANIAN","Present","30","30","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","LATVIAN","Column LATVIAN is missing","LATVIN","Missing","31","N/A","'LATVIAN' is not in list"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","KOREAN","Column KOREAN is present in CED","KOREAN","Present","32","32","Column is in Order"
